fold,n_sites,n_obs,rmse_log,mae_log,r2_log
0,6,1389,0.5131620724718097,0.393689508445034,0.47417998244816195
1,5,1560,0.7536780384203937,0.5876326516793203,0.14161525682394804
2,4,927,0.4586968396416851,0.36265517581169965,0.17424097016494022
3,10,2836,0.7626188545291787,0.6104882023065323,-0.22558082274118085
4,3,839,0.4562801781954107,0.36072378046516074,0.29120515870547303
