[latent2_nodoy] Device: cuda
[latent2_nodoy] K=10, latent_dim=2, beta=1, kl_warmup=0, exclude_doy=True
[latent2_nodoy] 1,883,144 obs, 16 features
[latent2_nodoy] Epoch   1/100 | train=11.6241 (recon=9.6053 kl=2.0188) | val=10.7108 | beta=1.000 | 10s
[latent2_nodoy] Epoch   2/100 | train=10.5434 (recon=8.0172 kl=2.5263) | val=10.4120 | beta=1.000 | 21s
[latent2_nodoy] Epoch   3/100 | train=10.3504 (recon=7.6938 kl=2.6566) | val=10.2799 | beta=1.000 | 30s
[latent2_nodoy] Epoch   4/100 | train=10.2502 (recon=7.5168 kl=2.7335) | val=10.1980 | beta=1.000 | 39s
[latent2_nodoy] Epoch   5/100 | train=10.1675 (recon=7.3615 kl=2.8060) | val=10.1226 | beta=1.000 | 48s
[latent2_nodoy] Epoch   6/100 | train=10.0883 (recon=7.2124 kl=2.8759) | val=10.0464 | beta=1.000 | 55s
[latent2_nodoy] Epoch   7/100 | train=10.0257 (recon=7.0875 kl=2.9382) | val=9.9842 | beta=1.000 | 63s
[latent2_nodoy] Epoch   8/100 | train=9.9731 (recon=6.9823 kl=2.9908) | val=9.9445 | beta=1.000 | 74s
[latent2_nodoy] Epoch   9/100 | train=9.9298 (recon=6.8948 kl=3.0350) | val=9.9045 | beta=1.000 | 84s
[latent2_nodoy] Epoch  10/100 | train=9.8877 (recon=6.8140 kl=3.0737) | val=9.8640 | beta=1.000 | 94s
[latent2_nodoy] Epoch  11/100 | train=9.8483 (recon=6.7394 kl=3.1089) | val=9.8292 | beta=1.000 | 104s
[latent2_nodoy] Epoch  12/100 | train=9.8138 (recon=6.6748 kl=3.1390) | val=9.7948 | beta=1.000 | 116s
[latent2_nodoy] Epoch  13/100 | train=9.7845 (recon=6.6139 kl=3.1706) | val=9.7588 | beta=1.000 | 125s
[latent2_nodoy] Epoch  14/100 | train=9.7554 (recon=6.5621 kl=3.1932) | val=9.7429 | beta=1.000 | 137s
[latent2_nodoy] Epoch  15/100 | train=9.7314 (recon=6.5151 kl=3.2164) | val=9.7105 | beta=1.000 | 148s
