[latent10_nodoy] Device: cuda
[latent10_nodoy] K=10, latent_dim=10, beta=1, kl_warmup=0, exclude_doy=True
[latent10_nodoy] 1,883,144 obs, 16 features
[latent10_nodoy] Epoch  48/100 | train=8.9210 (recon=4.4830 kl=4.4380) | val=8.9130 | beta=1.000 | 442s
[latent10_nodoy] Epoch  49/100 | train=8.9205 (recon=4.4826 kl=4.4379) | val=8.9133 | beta=1.000 | 452s
[latent10_nodoy] Epoch  50/100 | train=8.9186 (recon=4.4785 kl=4.4400) | val=8.9141 | beta=1.000 | 460s
[latent10_nodoy] Epoch  51/100 | train=8.9167 (recon=4.4754 kl=4.4413) | val=8.9051 | beta=1.000 | 469s
[latent10_nodoy] Epoch  52/100 | train=8.9149 (recon=4.4736 kl=4.4413) | val=8.9085 | beta=1.000 | 477s
[latent10_nodoy] Epoch  53/100 | train=8.9139 (recon=4.4699 kl=4.4440) | val=8.9095 | beta=1.000 | 485s
[latent10_nodoy] Epoch  54/100 | train=8.9118 (recon=4.4676 kl=4.4442) | val=8.9049 | beta=1.000 | 494s
[latent10_nodoy] Epoch  55/100 | train=8.9119 (recon=4.4670 kl=4.4449) | val=8.9082 | beta=1.000 | 504s
[latent10_nodoy] Epoch  56/100 | train=8.9092 (recon=4.4634 kl=4.4457) | val=8.9024 | beta=1.000 | 512s
[latent10_nodoy] Epoch  57/100 | train=8.9094 (recon=4.4620 kl=4.4474) | val=8.8990 | beta=1.000 | 520s
[latent10_nodoy] Epoch  58/100 | train=8.9075 (recon=4.4582 kl=4.4493) | val=8.8976 | beta=1.000 | 528s
[latent10_nodoy] Epoch  59/100 | train=8.9064 (recon=4.4569 kl=4.4495) | val=8.9029 | beta=1.000 | 536s
[latent10_nodoy] Epoch  60/100 | train=8.9056 (recon=4.4567 kl=4.4489) | val=8.9022 | beta=1.000 | 545s
[latent10_nodoy] Epoch  61/100 | train=8.9035 (recon=4.4524 kl=4.4511) | val=8.8969 | beta=1.000 | 554s
[latent10_nodoy] Epoch  62/100 | train=8.9033 (recon=4.4504 kl=4.4529) | val=8.8938 | beta=1.000 | 562s
[latent10_nodoy] Epoch  63/100 | train=8.9033 (recon=4.4491 kl=4.4543) | val=8.8965 | beta=1.000 | 571s
[latent10_nodoy] Epoch  64/100 | train=8.9020 (recon=4.4474 kl=4.4546) | val=8.8958 | beta=1.000 | 580s
[latent10_nodoy] Epoch  65/100 | train=8.9011 (recon=4.4468 kl=4.4543) | val=8.8897 | beta=1.000 | 589s
[latent10_nodoy] Epoch  66/100 | train=8.8992 (recon=4.4436 kl=4.4556) | val=8.8918 | beta=1.000 | 598s
