timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 11:35:28.274, 0, 0 %, 0 %, 1527 MiB, 49140 MiB, 47, 79.16 W
2026/03/29 11:35:28.278, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.75 W
2026/03/29 11:35:28.287, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.82 W
2026/03/29 11:35:28.296, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.49 W
2026/03/29 11:35:58.307, 0, 0 %, 0 %, 1527 MiB, 49140 MiB, 47, 79.40 W
2026/03/29 11:35:58.307, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.90 W
2026/03/29 11:35:58.308, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.73 W
2026/03/29 11:35:58.308, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.54 W
2026/03/29 11:36:28.309, 0, 100 %, 4 %, 16693 MiB, 49140 MiB, 51, 142.45 W
2026/03/29 11:36:28.309, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 17.05 W
2026/03/29 11:36:28.309, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.59 W
2026/03/29 11:36:28.309, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 20.40 W
2026/03/29 11:36:58.310, 0, 100 %, 3 %, 16699 MiB, 49140 MiB, 57, 156.53 W
2026/03/29 11:36:58.310, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.92 W
2026/03/29 11:36:58.311, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.81 W
2026/03/29 11:36:58.311, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 20.55 W
2026/03/29 11:37:28.311, 0, 100 %, 6 %, 16699 MiB, 49140 MiB, 61, 155.13 W
2026/03/29 11:37:28.311, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.80 W
2026/03/29 11:37:28.312, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.75 W
2026/03/29 11:37:28.312, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 20.43 W
2026/03/29 11:37:58.312, 0, 100 %, 4 %, 16699 MiB, 49140 MiB, 63, 171.71 W
2026/03/29 11:37:58.313, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.78 W
2026/03/29 11:37:58.313, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.84 W
2026/03/29 11:37:58.313, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 20.49 W
2026/03/29 11:38:28.313, 0, 100 %, 3 %, 16699 MiB, 49140 MiB, 64, 190.78 W
2026/03/29 11:38:28.313, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 17.07 W
2026/03/29 11:38:28.313, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.63 W
2026/03/29 11:38:28.313, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.67 W
2026/03/29 11:38:58.313, 0, 100 %, 4 %, 16699 MiB, 49140 MiB, 65, 189.09 W
2026/03/29 11:38:58.314, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 17.08 W
2026/03/29 11:38:58.314, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 18.11 W
2026/03/29 11:38:58.314, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.53 W
2026/03/29 11:39:28.314, 0, 100 %, 4 %, 16699 MiB, 49140 MiB, 65, 192.83 W
2026/03/29 11:39:28.315, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.96 W
2026/03/29 11:39:28.315, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.76 W
2026/03/29 11:39:28.315, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.47 W
2026/03/29 11:39:58.315, 0, 100 %, 26 %, 16699 MiB, 49140 MiB, 64, 201.50 W
2026/03/29 11:39:58.315, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 17.06 W
2026/03/29 11:39:58.315, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.84 W
2026/03/29 11:39:58.315, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.61 W
2026/03/29 11:40:28.316, 0, 100 %, 2 %, 16699 MiB, 49140 MiB, 65, 175.14 W
2026/03/29 11:40:28.316, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 16.85 W
2026/03/29 11:40:28.317, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 33, 17.93 W
2026/03/29 11:40:28.317, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.65 W
2026/03/29 11:40:58.317, 0, 100 %, 2 %, 16699 MiB, 49140 MiB, 65, 173.73 W
2026/03/29 11:40:58.317, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 33, 17.21 W
2026/03/29 11:40:58.317, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 32, 17.94 W
2026/03/29 11:40:58.317, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 20.60 W
