site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
108720_47582,MT,4096,1881145,1999,0.423302640114521,0.3292239854395771,0.401627175501724,2.9806785564592686,1.434584324320535,0.3721768159004549,1281.2720131818205,0.3839212623424828,200.05654993001372,1481.7124843741767,1,0.3683302104473114,0.6340910196304321,0.6024359464645386,0.682301938533783,408.4662529637684,418.17781747294583,395.28782794635873,0.7296869158744812
115553_48392,MT,4096,1877397,5747,0.5110874912173509,0.3987369396095325,0.38560323070500235,8.653358948968867,5.232030811828296,0.29751915928192874,1280.3569170897827,0.31069870479404926,203.2980428589508,1483.9656586535275,1,0.3685948848724365,0.638045072555542,0.6087512373924255,0.6902844905853271,402.97361111938216,417.1817480912728,393.2444732443715,0.7298627495765686
108512_45780,MT,4096,1879806,3338,0.6534459835607468,0.477529450243891,0.07943327364630126,4.037568525642974,2.7908557346578857,0.19986155841522235,1280.573852818925,0.8032178808934987,200.26595808099955,1481.643028780818,1,0.3714413344860077,0.6396230459213257,0.6010233759880066,0.6896630525588989,405.77878219205724,416.1134344906954,394.6898584069337,0.7294100522994995
