timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 01:03:02.293, 2, 0 %, 0 %, 3508 MiB, 49140 MiB, 58, 111.19 W
2026/03/29 01:03:02.293, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 113.32 W
2026/03/29 01:03:32.293, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.59 W
2026/03/29 01:03:32.293, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 103.55 W
2026/03/29 01:03:32.293, 2, 63 %, 32 %, 3508 MiB, 49140 MiB, 60, 130.20 W
2026/03/29 01:03:32.293, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 54, 115.94 W
2026/03/29 01:04:02.295, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 125.04 W
2026/03/29 01:04:02.295, 1, 45 %, 19 %, 3510 MiB, 49140 MiB, 59, 122.74 W
2026/03/29 01:04:02.295, 2, 39 %, 21 %, 3508 MiB, 49140 MiB, 58, 122.63 W
2026/03/29 01:04:02.295, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 104.25 W
2026/03/29 01:04:32.295, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 59, 113.79 W
2026/03/29 01:04:32.296, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 60, 103.73 W
2026/03/29 01:04:32.296, 2, 22 %, 14 %, 3510 MiB, 49140 MiB, 60, 127.11 W
2026/03/29 01:04:32.296, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 103.96 W
2026/03/29 01:05:02.297, 0, 94 %, 18 %, 4765 MiB, 49140 MiB, 56, 132.74 W
2026/03/29 01:05:02.297, 1, 35 %, 17 %, 3510 MiB, 49140 MiB, 59, 122.58 W
2026/03/29 01:05:02.298, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 111.65 W
2026/03/29 01:05:02.298, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 56, 103.69 W
2026/03/29 01:05:32.298, 0, 94 %, 25 %, 4765 MiB, 49140 MiB, 56, 132.12 W
2026/03/29 01:05:32.298, 1, 43 %, 28 %, 3510 MiB, 49140 MiB, 60, 120.56 W
2026/03/29 01:05:32.298, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 104.93 W
2026/03/29 01:05:32.299, 3, 6 %, 4 %, 3510 MiB, 49140 MiB, 56, 122.03 W
2026/03/29 01:06:02.300, 0, 94 %, 20 %, 4765 MiB, 49140 MiB, 58, 132.18 W
2026/03/29 01:06:02.300, 1, 38 %, 25 %, 3510 MiB, 49140 MiB, 59, 114.19 W
2026/03/29 01:06:02.300, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 61, 111.73 W
2026/03/29 01:06:02.300, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 56, 103.75 W
2026/03/29 01:06:32.301, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.54 W
2026/03/29 01:06:32.302, 1, 94 %, 26 %, 3510 MiB, 49140 MiB, 59, 117.38 W
2026/03/29 01:06:32.302, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 60, 130.98 W
2026/03/29 01:06:32.302, 3, 51 %, 28 %, 3510 MiB, 49140 MiB, 55, 122.73 W
2026/03/29 01:07:02.303, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 58, 113.79 W
2026/03/29 01:07:02.303, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 104.27 W
2026/03/29 01:07:02.303, 2, 6 %, 5 %, 3510 MiB, 49140 MiB, 59, 124.43 W
2026/03/29 01:07:02.303, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 103.71 W
2026/03/29 01:07:32.304, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 117.72 W
2026/03/29 01:07:32.306, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 114.91 W
2026/03/29 01:07:32.306, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 111.98 W
2026/03/29 01:07:32.306, 3, 17 %, 11 %, 3510 MiB, 49140 MiB, 55, 118.30 W
2026/03/29 01:08:02.308, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 58, 113.57 W
2026/03/29 01:08:02.308, 1, 88 %, 24 %, 3512 MiB, 49140 MiB, 61, 123.04 W
2026/03/29 01:08:02.308, 2, 54 %, 33 %, 3510 MiB, 49140 MiB, 59, 130.62 W
2026/03/29 01:08:02.308, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 113.79 W
2026/03/29 01:08:32.309, 0, 96 %, 36 %, 4765 MiB, 49140 MiB, 57, 132.60 W
2026/03/29 01:08:32.309, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 59, 108.64 W
2026/03/29 01:08:32.309, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 131.09 W
