fold,site,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,115553_48392,0.6655571460723877,1.1362963914871216,0.815365195274353,1.921924114227295,51.08695324921521,193.3369959136994,106.39689790756306,0.07171671837568283
1,114021_46842,0.7331681847572327,0.7814691662788391,0.9687322974205017,2.908660888671875,59.93432696518387,171.3763554519615,57.421970363893294,0.07103642076253891
2,114158_46244,0.8137482404708862,0.7407114505767822,0.8659281730651855,2.465376138687134,93.43361493563826,208.51330082214844,52.88457020884811,0.06751029938459396
3,115324_47594,0.6998493075370789,0.6274558305740356,0.7534136772155762,2.1005167961120605,77.59341737813591,223.26538406363068,53.263276284082366,0.0828036293387413
4,112501_46003,0.6481025218963623,0.8774029612541199,0.8566113710403442,2.6446948051452637,55.597641499835966,187.14082629631562,60.47069703363619,0.06943048536777496
5,111092_44658,0.6453519463539124,0.6504771709442139,0.7741484045982361,2.7239482402801514,52.557550442253756,185.7310173755933,59.3987477819996,0.07023254036903381
6,112013_46659,0.6881330609321594,1.345789909362793,0.6886977553367615,1.263002634048462,51.00247554258629,189.66323165564555,119.96016594750255,0.0742843970656395
7,111303_47494,0.7169609069824219,0.649503231048584,0.6621726751327515,2.3658337593078613,97.2615911270265,183.02999061757762,55.25616258995708,0.08487582951784134
8,111056_45684,0.737582266330719,0.6363186240196228,0.7329005002975464,2.675691604614258,55.33465300619699,198.4007117795748,56.324043421352215,0.07506968080997467
9,114224_47013,0.6899911761283875,1.0637129545211792,0.7316928505897522,2.2178895473480225,54.184494731517816,191.97664998644058,69.18889410139086,0.0793152004480362
10,105370_45440,0.7029332518577576,0.5061675906181335,0.7699644565582275,2.2054059505462646,92.31433537616202,203.98131665991312,56.1875107549627,0.07746118307113647
11,106490_45366,0.6823281645774841,0.6292440891265869,0.8176079988479614,2.329373598098755,76.31177118257807,169.9336525205997,54.3004419651754,0.07535059005022049
12,114189_48364,0.6851648092269897,1.0461550951004028,0.7095429301261902,0.7424302697181702,53.2302745716484,203.41477365862943,122.3515500455428,0.07653891295194626
13,111987_46850,0.740717351436615,0.6644078493118286,0.7386892437934875,2.398174524307251,97.4200004006204,175.34152286467437,53.607862030947906,0.0772760659456253
14,109455_47049,0.7409963011741638,0.5150400400161743,0.7762210369110107,2.067129611968994,81.85779279761906,215.8608826759581,61.96368087769628,0.07847129553556442
15,107862_48318,0.7099077105522156,1.1798102855682373,0.7361252903938293,1.9685148000717163,51.56334806643797,225.6497494287277,77.52609474688585,0.08158586174249649
16,104677_47868,0.750690221786499,0.7067108154296875,0.8064233660697937,3.278151035308838,67.69100026910273,192.2804058765145,57.294742777339884,0.07396847754716873
17,108720_47582,0.7705616354942322,0.692706823348999,0.7782248854637146,2.840571403503418,117.33082506022909,192.96896437540713,56.12223325921674,0.07933434844017029
18,113997_48510,0.6567963361740112,1.264256238937378,0.9095873832702637,1.4993752241134644,52.754680703251346,162.53458748392748,138.12598061948344,0.06988776475191116
19,111712_46826,0.6776964664459229,0.5453482866287231,0.8122556209564209,2.6810715198516846,66.35592714480183,195.35888644317555,57.10756683385667,0.07542839646339417
20,113155_47122,0.6899847984313965,0.8193660974502563,0.8039901256561279,2.753584146499634,58.250241811607104,188.53684675257995,55.73356191467625,0.077235646545887
21,114001_45860,0.7172152996063232,0.7233785390853882,0.9297131299972534,2.905017137527466,100.85810263446999,184.21579219735824,56.008043235182015,0.07620024681091309
22,115672_47955,0.691939651966095,1.3085219860076904,0.7787389755249023,2.0746710300445557,52.47394716240458,182.9255751220064,83.86594202943351,0.07222376018762589
23,104476_48487,0.6678781509399414,0.8186951279640198,0.7723520994186401,2.171266555786133,56.651586144783195,206.6110276592913,58.261384538563945,0.08140572160482407
24,114270_47773,0.7230106592178345,1.0133874416351318,0.7289469242095947,2.432669162750244,72.97816877702495,208.83113241907586,51.80465652674831,0.08444981276988983
25,105103_48308,0.6523826718330383,0.7403324842453003,0.8783769607543945,2.419349431991577,84.28004910885845,182.0699202747916,56.625846991022854,0.07797079533338547
26,106557_45648,0.6795006394386292,0.7492949962615967,0.7874541878700256,2.1469666957855225,57.82173482767271,201.69445216109705,54.16530971232213,0.08511092513799667
27,113484_47177,0.73786461353302,0.6838546395301819,0.761538028717041,2.644740343093872,73.7816826537823,225.95846571552977,54.66752137935392,0.0736585184931755
28,115195_48971,0.6216855049133301,0.7340635657310486,0.8365055322647095,2.5276970863342285,68.40491313328384,169.1502085491984,57.49893406860747,0.07551559060811996
29,109677_48551,0.7869646549224854,1.0527138710021973,0.7623082995414734,2.542142152786255,57.99149042373635,207.00811711116413,55.817156427229854,0.07551705092191696
30,112364_48607,0.7059736847877502,1.0814039707183838,0.7166329026222229,2.1225287914276123,47.979920559249706,199.18098361347998,61.476140522557586,0.0739424005150795
31,114096_46927,0.7105379104614258,0.8755946755409241,0.7713429927825928,2.498013734817505,62.55727474339948,199.58633462982237,49.23121048503404,0.07760527729988098
