cv_method,n_train,n_test,n_predictions,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,total_time_seconds,years
Random_Split,2000,1511,1511,0.4404,0.3401,0.6114,3.65,2.27,0.5158,3.127,2019
Random_Split,2000,3016,3016,0.4672596156597137,0.3577958047389984,0.599554181098938,4.605486869812012,2.470243692398072,0.5017578601837158,,2018-2019
Random_Split,2000,3016,3016,0.4672596156597137,0.3577958047389984,0.599554181098938,4.605486869812012,2.470243692398072,0.5017578601837158,,2018-2019
Random_Split,4000,3016,3016,0.4550657272338867,0.3448579013347626,0.6201820969581604,4.421932697296143,2.383958339691162,0.5406818389892578,,2018-2019
Random_Split,2000,1511,1511,0.4388096034526825,0.3379128277301788,0.6142855882644653,3.646135091781616,2.254133701324463,0.5166698694229126,,2019
Random_Split,2000,3016,3016,0.4678352773189544,0.358123242855072,0.5985668897628784,4.630336284637451,2.463674545288086,0.4963666200637817,,2018-2019
Random_Split,4000,3016,3016,0.45564937591552734,0.3455541729927063,0.6192071437835693,4.4444966316223145,2.3838887214660645,0.5359822511672974,,2018-2019
