cv_method,n_sites,n_predictions,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,total_time_seconds,years,model
LOSO,28,7551,0.5708290274987845,0.4417939528493038,0.3470233390290561,4.216899450255589,2.6856802354329288,0.3166630800744467,41.38875912502408,2019,
LOSO,28,15080,0.572588648828737,0.4410549411967692,0.4061435285296273,5.42402371647825,3.068575065011492,0.3498228568119649,42.56251027621329,2018-2019,
LOSO,28,15080,0.572588648828737,0.4410549411967692,0.4061435285296273,5.42402371647825,3.068575065011492,0.3498228568119649,42.8333682846278,2018-2019,
LOSO,28,7551,0.5708290274987845,0.4417939528493038,0.3470233390290561,4.216899450255589,2.6856802354329288,0.3166630800744467,49.34368305653334,2019,
LOSO,28,15080,0.572588648828737,0.4410549411967692,0.4061435285296273,5.42402371647825,3.068575065011492,0.3498228568119649,49.575825380161405,2018-2019,
LOSO,28,15080,0.5743352225186442,0.4448000329917727,0.4025151087076072,5.36110588993789,3.103767585747254,0.3648192776212045,44.482652908191085,2018-2019,
LOSO,28,15080,0.5768768582238307,0.4461043350021776,0.3972152454261344,5.315726680387422,3.0992058152937147,0.3755267730433006,58.61208355426788,2018-2019,periodic_rbf
LOSO,28,7551,0.5811005199386323,0.4510337575798763,0.3233126033688265,4.152592040398611,2.6695227703580904,0.3373458396868375,49.70447211712599,2019,periodic_rbf
LOSO,28,15080,0.5777780346899113,0.446078730393555,0.3953304766992238,5.301059487093787,3.033891273852742,0.3789681212967074,51.59254760295153,2018-2019,periodic_rbf
LOSO,32,15572,0.6034610305790804,0.4638278101236779,0.3401424094550009,5.687311578383307,3.3160400471778884,0.303974059211355,49.62509013689123,2018-2019,
LOSO,32,15572,0.6034610305790804,0.4638278101236779,0.3401424094550009,5.687311578383307,3.3160400471778884,0.303974059211355,49.68511474807747,2018-2019,
LOSO,32,15572,0.6280887929720398,0.4806494733059811,0.285184690618114,5.882767985582614,3.4755939755387413,0.2553111980818802,84.90526799904183,2018-2019,
LOSO,32,15572,0.5958257710208217,0.4541049613356571,0.3567344047627165,5.682936470759643,3.2616022180014923,0.3050445182723493,68.07958357292227,2018-2019,periodic_rbf
LOSO,32,15572,0.6273446969457056,0.4789163111670111,0.2868773690157411,5.784964145517028,3.4232176461644803,0.2798669784037403,166.5668340679258,2018-2019,
LOSO,32,15572,0.6442816793684196,0.4949857715778465,0.2478519728006986,5.897106770043281,3.5264594552929047,0.2516765330543552,53.77281318302266,2018-2019,seasonal_interaction
LOSO,32,15572,0.6937237367328252,0.531383392023255,0.12798317153455951,6.2775669386352115,3.851555840915328,0.1520034460085511,535.818730572937,2018-2019,seasonal_interaction
