site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
108720_47582,MT,256,1881145,1999,0.4550411947812706,0.35696282974238547,0.3085331928585999,2.9714312260001874,1.5636973791446847,0.3760663212517511,1341.1940557658672,0.03149942308664322,22.85408750316128,1364.0796426921152,50,0.08467472344636917,0.41573795676231384,0.33114758133888245,0.7023826241493225,562.4425182006407,591.3364708432326,499.91665264621867,0.22442878782749176
108720_47582,MT,512,1881145,1999,0.441542608766734,0.3481433100046041,0.3489487969627183,2.9571634299366027,1.5409771135772925,0.3820437679772887,1556.7123248130083,0.0397428828291595,13.0252894051373,1569.7773571009748,50,0.10176093131303787,0.4661831557750702,0.370400607585907,0.6647005081176758,539.4541733685828,591.887997335532,463.260251010537,0.21667927503585815
108720_47582,MT,1024,1881145,1999,0.3930557786834752,0.29863094140546853,0.48408485327643236,2.9198822305259924,1.3283893439339185,0.3975267997034291,2386.859769214876,0.026580133009701967,21.986137664411217,2408.872487012297,50,0.11436183750629425,0.4902494549751282,0.3852195143699646,0.6564611792564392,539.5079180583347,591.2301421471694,404.6140960177372,0.20609070360660553
108720_47582,MT,2048,1881145,1999,0.406585482891124,0.3008949814972662,0.44795606426399015,3.0219571210280196,1.3395847475367706,0.35466732033477244,5316.244039757177,0.07967259176075459,42.017116270028055,5358.340828618966,50,0.12146241962909698,0.5012385249137878,0.4354930818080902,0.6512510776519775,525.7439787096137,580.2439201299179,381.2082331662778,0.19618888199329376
108720_47582,MT,4096,1881145,1999,0.3970158995721945,0.3105682652883197,0.47363657226241707,2.89052895035958,1.3707187809784334,0.40957911735446506,17492.079914000817,0.15255455812439322,151.65929930936545,17643.891767868306,50,0.1380198448896408,0.4875163435935974,0.4396515190601349,0.6350163817405701,485.9027626417781,502.9084908402398,380.38086773108273,0.18943274021148682
115553_48392,MT,256,1877397,5747,0.5050560006133685,0.3949684115365722,0.40001900968996085,8.340740031335267,5.156695458185289,0.3473592064230697,1332.5844569923356,0.034450406208634377,24.18089115107432,1356.7997985496186,50,0.08584028482437134,0.4284694790840149,0.33946046233177185,0.6877223253250122,569.9735341467641,583.2695053034914,497.8338093358513,0.22559970617294312
115553_48392,MT,512,1877397,5747,0.49974062019617216,0.39333918550895114,0.41258136109367904,8.233634395683556,5.1437252578290265,0.364013051279107,1512.2061958769336,0.027923196088522673,12.060833517927676,1524.2949525909498,50,0.10857980698347092,0.46782028675079346,0.3669431507587433,0.6739009022712708,542.8905614940819,590.1491280100211,491.95517190975136,0.21706686913967133
115553_48392,MT,1024,1877397,5747,0.5212822483686321,0.40750684627688105,0.3608477952047878,8.80310028536577,5.367604418493789,0.2729967628387445,2348.6814844789915,0.041178358253091574,19.799917987082154,2368.5225808243267,50,0.11706865578889847,0.48667895793914795,0.3964814245700836,0.6480400562286377,540.9999685240423,595.2972757999113,398.8668210941335,0.20718514919281006
115553_48392,MT,2048,1877397,5747,0.4964531085858385,0.3845962949802821,0.42028453173475766,8.378418559357575,5.088343439021955,0.3414493981563882,5366.393711594865,0.09871217468753457,38.31703470880166,5404.809458478354,50,0.12006480991840363,0.5001212358474731,0.4224609136581421,0.6545369625091553,538.5017192010077,568.199819518518,378.7276381650753,0.1973656862974167
115553_48392,MT,4096,1877397,5747,0.49173582527201143,0.3806974786682787,0.43124907046908645,8.308924359784866,5.046879588967236,0.3523286941716247,17673.811425733846,0.3137816651724279,177.7407794483006,17851.86598684732,50,0.13592670857906342,0.5125007033348083,0.4322468638420105,0.6533392667770386,485.81017701906313,510.6879541184842,382.0757030479685,0.19041994214057922
