n_inducing,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,mean_train_time,mean_infer_time,mean_ip_time,mean_fold_time,total_wall_time,mean_stopped_epoch,n_predictions
256,0.5389679035529036,0.4124113429068507,0.5159217426786583,6.671327485891107,3.753715030648337,0.4279776648905076,1299.89185278425,0.02945528868585825,19.65824467157945,1319.5795527445152,6597.897763722576,50.0,17829
512,0.5598828871738432,0.4290207698843235,0.47762286703974954,6.728845486324918,3.8740702084626206,0.4180715661970008,1478.9556581053882,0.02746800146996975,11.709809276182204,1490.6929353830405,7453.464676915202,50.0,17829
1024,0.576268471323013,0.43657978699237454,0.4465995742756519,7.010385173909141,4.00178773432636,0.3683562157121304,2329.859963263292,0.032004131469875574,20.703057232219727,2350.5950246269813,11752.975123134907,50.0,17829
2048,0.5803627886368231,0.43753266803251967,0.4387079537433689,6.830867967626016,3.958383577836314,0.40029143913292087,5297.968081193045,0.07484062081202865,37.72212403705343,5335.765045850911,26678.82522925455,50.0,17829
4096,0.5920179612816806,0.4460819951104,0.4159372129116168,6.70164424262112,3.986998415951129,0.42276692815415606,17494.476482102928,0.22005881378427147,148.32634459799155,17643.022885514703,88215.11442757351,50.0,17829
