fold,site,state,n_inducing,r2_log,r2_orig,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,108720_47582,MT,256,0.3085331928585999,0.3760663212517511,0.08467472344636917,0.41573795676231384,0.33114758133888245,0.7023826241493225,562.4425182006407,591.3364708432326,499.91665264621867,0.22442878782749176
0,108720_47582,MT,512,0.3489487969627183,0.3820437679772887,0.10176093131303787,0.4661831557750702,0.370400607585907,0.6647005081176758,539.4541733685828,591.887997335532,463.260251010537,0.21667927503585815
0,108720_47582,MT,1024,0.48408485327643236,0.3975267997034291,0.11436183750629425,0.4902494549751282,0.3852195143699646,0.6564611792564392,539.5079180583347,591.2301421471694,404.6140960177372,0.20609070360660553
0,108720_47582,MT,2048,0.44795606426399015,0.35466732033477244,0.12146241962909698,0.5012385249137878,0.4354930818080902,0.6512510776519775,525.7439787096137,580.2439201299179,381.2082331662778,0.19618888199329376
0,108720_47582,MT,4096,0.47363657226241707,0.40957911735446506,0.1380198448896408,0.4875163435935974,0.4396515190601349,0.6350163817405701,485.9027626417781,502.9084908402398,380.38086773108273,0.18943274021148682
1,115553_48392,MT,256,0.40001900968996085,0.3473592064230697,0.08584028482437134,0.4284694790840149,0.33946046233177185,0.6877223253250122,569.9735341467641,583.2695053034914,497.8338093358513,0.22559970617294312
1,115553_48392,MT,512,0.41258136109367904,0.364013051279107,0.10857980698347092,0.46782028675079346,0.3669431507587433,0.6739009022712708,542.8905614940819,590.1491280100211,491.95517190975136,0.21706686913967133
1,115553_48392,MT,1024,0.3608477952047878,0.2729967628387445,0.11706865578889847,0.48667895793914795,0.3964814245700836,0.6480400562286377,540.9999685240423,595.2972757999113,398.8668210941335,0.20718514919281006
1,115553_48392,MT,2048,0.42028453173475766,0.3414493981563882,0.12006480991840363,0.5001212358474731,0.4224609136581421,0.6545369625091553,538.5017192010077,568.199819518518,378.7276381650753,0.1973656862974167
1,115553_48392,MT,4096,0.43124907046908645,0.3523286941716247,0.13592670857906342,0.5125007033348083,0.4322468638420105,0.6533392667770386,485.81017701906313,510.6879541184842,382.0757030479685,0.19041994214057922
2,108512_45780,MT,256,0.18904901649968886,0.2771938213140278,0.0835079699754715,0.414742648601532,0.3278532326221466,0.6975744962692261,568.5695083988012,584.7124271058143,503.1266604752949,0.22457683086395264
2,108512_45780,MT,512,0.029683009243437586,0.1973023678617536,0.10344484448432922,0.48005369305610657,0.3508090078830719,0.6722970604896545,539.9574548100616,590.1371865954093,439.03273549921806,0.2159729152917862
2,108512_45780,MT,1024,-0.16806514214971235,-0.005504191579861262,0.11211110651493073,0.48832857608795166,0.39813128113746643,0.6547703146934509,538.0358578032447,594.39126465835,402.4897416720904,0.20600353181362152
2,108512_45780,MT,2048,-0.13702894495736806,0.04529571986833181,0.12338360399007797,0.502320408821106,0.42195719480514526,0.6535585522651672,538.4938254705818,557.8435776088463,378.4603926421262,0.19623702764511108
2,108512_45780,MT,4096,-0.1803246995518848,0.03861502841922204,0.13682742416858673,0.5084433555603027,0.42772528529167175,0.6560728549957275,473.07388854663157,495.4196323625239,380.1157123600501,0.1893417239189148
3,105103_48308,MT,256,0.19276321857224643,0.18751164422288158,0.07757820934057236,0.40743476152420044,0.3393145203590393,0.6963455080986023,548.0455295410525,599.2560568906631,503.9097178573956,0.2240726202726364
3,105103_48308,MT,512,0.12129330935035754,0.14039890871774696,0.1112694963812828,0.47522175312042236,0.37488558888435364,0.6793514490127563,548.769356993968,586.0268649510665,497.1952757873677,0.21643446385860443
3,105103_48308,MT,1024,-0.12055222768994356,-0.009361403258534517,0.11515142023563385,0.48236143589019775,0.39437153935432434,0.6449280977249146,547.4753697025919,588.111193296623,408.00432140773,0.20587760210037231
3,105103_48308,MT,2048,-0.5709941587707958,-0.34658878445401387,0.12128620594739914,0.49854618310928345,0.4086822271347046,0.6419779658317566,529.3531384978636,575.9075623622658,380.353789726806,0.19623006880283356
3,105103_48308,MT,4096,-0.8357646757237007,-0.44906871047974706,0.1389656811952591,0.48984986543655396,0.4544294476509094,0.6468414068222046,482.70161890597007,500.97459072297323,379.2909599093251,0.1894843429327011
4,112501_46003,MT,256,0.37650298974199015,0.2844913608628209,0.09083765000104904,0.44326645135879517,0.3837433457374573,0.6838740110397339,561.4925851131708,585.4398634125162,488.6616733102045,0.2256895899772644
4,112501_46003,MT,512,0.30734765100650396,0.24364894279510851,0.10415750741958618,0.47479698061943054,0.3603087067604065,0.6861253380775452,542.14979565539,589.2099021993321,480.0111488660139,0.21622301638126373
4,112501_46003,MT,1024,0.35914192310213877,0.253552389858244,0.11214040964841843,0.49256598949432373,0.3745403289794922,0.6563100218772888,545.827381312463,589.5604368277134,399.96409870329137,0.20619280636310577
4,112501_46003,MT,2048,0.3450418757989707,0.27537267468432525,0.1205088421702385,0.5010977387428284,0.41159331798553467,0.6420205235481262,541.6396380742921,577.8802556198831,379.0653008670366,0.19614167511463165
4,112501_46003,MT,4096,0.310999006414553,0.3368797190891505,0.1360999047756195,0.5042160749435425,0.4544990658760071,0.65565425157547,472.0350982640801,503.3841277022181,380.4590873101619,0.189458429813385
