[latent6_pm25wt] Device: cuda
[latent6_pm25wt] K=10, latent_dim=6, beta=1.0, kl_warmup=0, exclude_doy=True
[latent6_pm25wt] 1,883,144 obs, 16 features
[latent6_pm25wt] Feature weights: [1.634, 2.927, 2.779, 2.597, 2.746, 2.723, 2.961, 1.349, 5.0, 2.413, 2.032, 4.089, 3.325, 1.004, 1.703, 1.537]
[latent6_pm25wt] Epoch  46/100 | train=13.3339 (recon=5.7128 kl=7.6211) | val=13.3267 | beta=1.000 | 329s
[latent6_pm25wt] Epoch  47/100 | train=13.3246 (recon=5.7022 kl=7.6224) | val=13.3222 | beta=1.000 | 335s
[latent6_pm25wt] Epoch  48/100 | train=13.3217 (recon=5.6948 kl=7.6269) | val=13.3203 | beta=1.000 | 341s
[latent6_pm25wt] Epoch  49/100 | train=13.3188 (recon=5.6893 kl=7.6296) | val=13.3107 | beta=1.000 | 347s
[latent6_pm25wt] Epoch  50/100 | train=13.3125 (recon=5.6800 kl=7.6325) | val=13.2911 | beta=1.000 | 355s
[latent6_pm25wt] Epoch  51/100 | train=13.3082 (recon=5.6748 kl=7.6334) | val=13.2858 | beta=1.000 | 362s
[latent6_pm25wt] Epoch  52/100 | train=13.3045 (recon=5.6641 kl=7.6404) | val=13.2849 | beta=1.000 | 369s
[latent6_pm25wt] Epoch  53/100 | train=13.3000 (recon=5.6605 kl=7.6396) | val=13.2997 | beta=1.000 | 376s
[latent6_pm25wt] Epoch  54/100 | train=13.2951 (recon=5.6524 kl=7.6427) | val=13.2786 | beta=1.000 | 384s
[latent6_pm25wt] Epoch  55/100 | train=13.2930 (recon=5.6465 kl=7.6465) | val=13.2885 | beta=1.000 | 391s
[latent6_pm25wt] Epoch  56/100 | train=13.2896 (recon=5.6398 kl=7.6498) | val=13.2753 | beta=1.000 | 398s
[latent6_pm25wt] Epoch  57/100 | train=13.2844 (recon=5.6332 kl=7.6512) | val=13.2808 | beta=1.000 | 405s
[latent6_pm25wt] Epoch  58/100 | train=13.2835 (recon=5.6305 kl=7.6530) | val=13.2720 | beta=1.000 | 412s
[latent6_pm25wt] Epoch  59/100 | train=13.2793 (recon=5.6227 kl=7.6566) | val=13.2601 | beta=1.000 | 419s
[latent6_pm25wt] Epoch  60/100 | train=13.2745 (recon=5.6161 kl=7.6584) | val=13.2686 | beta=1.000 | 426s
[latent6_pm25wt] Epoch  61/100 | train=13.2724 (recon=5.6115 kl=7.6609) | val=13.2712 | beta=1.000 | 432s
[latent6_pm25wt] Epoch  62/100 | train=13.2722 (recon=5.6088 kl=7.6634) | val=13.2583 | beta=1.000 | 440s
