fold,site,period_init_std,period_learned_std,period_learned_days
0,115553_48392,3.4878494614573547,1.5151324272155762,158.6657122550401
1,114021_46842,3.487800966094662,1.4763880968093872,154.61052898423702
2,114158_46244,3.4887593414800615,0.931438684463501,97.5154621459114
3,115324_47594,3.4857073053974315,1.7461135387420654,182.9665873086905
4,112501_46003,3.4874999127763457,1.7508842945098877,183.3721876886391
5,111092_44658,3.4871791751821033,1.3516819477081299,141.57627314191933
6,112013_46659,3.4874999127763457,1.5313408374786377,160.37914118363503
7,111303_47494,3.4878440957289967,2.3142449855804443,242.34970307828084
8,111056_45684,3.4876859875068864,0.901740550994873,94.43531826852204
9,114224_47013,3.4905343642855247,1.603658676147461,167.8070662921991
10,105370_45440,3.487586704542344,1.7981607913970947,188.31882464810982
11,106490_45366,3.48908376038961,1.720488429069519,180.10699710100118
12,114189_48364,3.4878025274300435,0.9931341409683228,104.003091383721
13,111987_46850,3.4877208330503504,2.043813943862915,214.03749862142502
14,109455_47049,3.4866715305976297,1.665663242340088,174.4883319021559
15,107862_48318,3.487909489657988,0.6475125551223755,67.80679414408725
16,104677_47868,3.490326945779604,1.3761056661605835,144.00444496264421
17,108720_47582,3.484017223807648,2.0894052982330322,219.04463616444758
18,113997_48510,3.4848285685294433,1.6303128004074097,170.87547884746837
19,111712_46826,3.4875381646493318,0.8682015538215637,90.92678060061066
20,113155_47122,3.4850966221502633,1.5929142236709595,166.9428378249229
21,114001_45860,3.4858057284354795,1.5214333534240723,159.41896239511794
22,115672_47955,3.4855700226459043,1.3311275243759155,139.48775239615813
23,104476_48487,3.48465129653444,2.05454683303833,215.35102565744867
24,114270_47773,3.4863060501405565,1.383597493171692,144.9554276396893
25,105103_48308,3.4845209123603937,2.091484308242798,219.230896527526
26,106557_45648,3.4858615332361476,1.249033808708191,130.87427434535482
27,113484_47177,3.48710440423194,1.3484643697738647,141.24228986725353
28,115195_48971,3.4781758665783373,0.943150520324707,99.04206709578713
29,109677_48551,3.483100802578752,1.503357172012329,157.64723394481436
30,112364_48607,3.483438692397965,1.4970123767852783,156.96666969167248
31,114096_46927,3.486069795692631,1.497350811958313,156.88365871031314
