fold,site,state,n_inducing,n_train,n_test,ip_selection_time,train_time,infer_time,total_fold_time,stopped_epoch,best_epoch,epoch_times,batch_time_stats
0,108720_47582,MT,4096,1881145,1999,230.2317344630137,1267.8208967959508,0.5857589137740433,1498.6383901727386,1,0,[1267.819228860084],"[{'mean': 10.867295327661154, 'min': 3.862747761886567, 'max': 11.074255820829421, 'n_batches': 115}]"
2,108512_45780,MT,4096,1879806,3338,242.41213501943275,1269.3179510631599,0.20828538620844483,1511.938371468801,1,0,[1269.3160802782513],"[{'mean': 10.88557854447028, 'min': 2.5436786501668394, 'max': 11.43253669096157, 'n_batches': 115}]"
3,105103_48308,MT,4096,1881310,1834,235.3353395210579,1272.3382098828442,0.3762109191156924,1508.0497603230178,1,0,[1272.3363953176886],"[{'mean': 10.91459584387991, 'min': 6.386886766180396, 'max': 11.14066379191354, 'n_batches': 115}]"
