n_inducing,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,mean_train_time,mean_infer_time,mean_ip_time,mean_fold_time,total_wall_time,mean_stopped_epoch,n_predictions
256,0.5499054561969499,0.42315750242774247,0.49607508863401584,6.782886326565206,3.8468353604361214,0.40868684066016947,1591.505613248702,0.02360634794458747,20.52252065259963,1612.0517402492464,8060.258701246232,50.0,17829
512,0.5925750486513217,0.45279169579887885,0.41483749259533975,7.179308191902299,4.117260345940181,0.3375491518421785,1770.7098198582419,0.028314216900616883,14.694445179309696,1785.432579254452,8927.16289627226,50.0,17829
1024,0.5808890599051241,0.4392331666842298,0.43768953625313956,6.983215602512002,4.0115891042397065,0.37324274755958875,2573.82443425823,0.03613008325919509,21.846568345371633,2595.707132686861,12978.535663434304,50.0,17829
2048,0.5733692765078313,0.4346306314963495,0.4521538595908484,6.730561071040332,3.9159896387516495,0.4177747917212782,5640.4614870949645,0.06939462246373296,63.65654100719839,5704.187422724627,28520.937113623135,50.0,17829
4096,0.5714680297712466,0.43126124828187073,0.45578106395437723,6.636332151897494,3.8784330574157106,0.43396316294240533,19442.072177456506,0.2202507029287517,117.06889156419784,19559.361319723634,97796.80659861816,50.0,17829
