fold,site,state,n_inducing,r2_log,r2_orig,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,108720_47582,MT,256,0.3328860112877051,0.37261788355974357,0.029230982065200806,0.26349881291389465,0.26051145792007446,0.6070421934127808,526.3392579211758,518.5096911465179,506.69337861121056,0.22031626105308533
0,108720_47582,MT,512,0.44353410171083596,0.3689272816092263,0.037488918751478195,0.3057394325733185,0.27877771854400635,0.609245240688324,529.780987109693,555.810473949751,515.9068837631048,0.21091872453689575
0,108720_47582,MT,1024,0.47147549319489857,0.3941085782878665,0.04870552942156792,0.3223719000816345,0.29749560356140137,0.5374795198440552,516.4400916428408,566.5918101074788,447.4587066495029,0.20164033770561218
0,108720_47582,MT,2048,0.4540831933744588,0.4092560071360061,0.062188874930143356,0.3281363844871521,0.3514827787876129,0.5249035358428955,510.0375094617182,553.0108550264014,356.8892152340099,0.1942441612482071
0,108720_47582,MT,4096,0.5007345360115423,0.40840740590478963,0.08201590180397034,0.3077079653739929,0.3145153522491455,0.5109991431236267,494.88140602268135,480.0962671041763,351.77567294272603,0.18911059200763702
1,115553_48392,MT,256,0.37018191550870994,0.3128679708492579,0.030919326469302177,0.2651069462299347,0.24851025640964508,0.5997750759124756,528.7502502956673,527.9870589472459,514.226350031634,0.22043532133102417
1,115553_48392,MT,512,0.2754082843391221,0.23078427787326228,0.03914050757884979,0.3199736177921295,0.26654645800590515,0.5998020768165588,523.9155443800774,541.4079324770039,508.8570619594729,0.21063855290412903
1,115553_48392,MT,1024,0.35611718379472435,0.2764811079481938,0.05010603368282318,0.3306595981121063,0.2945963144302368,0.5700995922088623,518.6332085457879,566.1994638570271,456.8764287588953,0.2012370079755783
1,115553_48392,MT,2048,0.4159886315384159,0.35048838337530963,0.06212451681494713,0.3384373188018799,0.3126923441886902,0.5346451997756958,516.7757210128019,554.6434963042291,354.6944029697627,0.19416159391403198
1,115553_48392,MT,4096,0.43503848001783685,0.36745570624811075,0.08207099884748459,0.3407624065876007,0.30778682231903076,0.5319238901138306,506.0555143487962,479.19136056054265,358.6473233645586,0.18921513855457306
2,108512_45780,MT,256,0.1508880905895782,0.25840449357928275,0.029757944867014885,0.2723951041698456,0.23927737772464752,0.5884667038917542,531.4394075918608,524.9633158252813,504.87364942382135,0.21863389015197754
2,108512_45780,MT,512,-0.15924184669510932,0.059331191139930683,0.0365622416138649,0.34817323088645935,0.2674529254436493,0.5798364281654358,529.8914516438829,557.3806139305927,505.94481435020134,0.2086351215839386
2,108512_45780,MT,1024,-0.185769900630133,-0.00536503429655788,0.04943779110908508,0.34587857127189636,0.3055467903614044,0.5405848026275635,524.9815336024612,576.0674610244341,408.0261796683319,0.2001022845506668
2,108512_45780,MT,2048,-0.07246060597869541,0.11149312392463262,0.06253422051668167,0.32672014832496643,0.2997170090675354,0.5292654037475586,526.0952403187658,554.706234147614,353.67326482508383,0.1929328888654709
2,108512_45780,MT,4096,-0.08928918037278932,0.12168917166749627,0.07958123832941055,0.33521291613578796,0.320224404335022,0.5362682342529297,491.6373493102647,487.80656962678665,365.3202278901428,0.18803651630878448
3,105103_48308,MT,256,0.08794223490634778,0.07861006494373368,0.029388563707470894,0.2382662147283554,0.2627743184566498,0.6078751683235168,504.318589782622,543.3871551058767,507.7021538372568,0.2203942984342575
3,105103_48308,MT,512,0.027556143320528248,0.10565054412056063,0.0415223054587841,0.31068459153175354,0.27570319175720215,0.5907461643218994,506.2007026499778,536.8056897728237,505.5703878701608,0.21181724965572357
3,105103_48308,MT,1024,-0.21761218558339412,-0.08063691527513273,0.04887653514742851,0.3347479999065399,0.29049432277679443,0.5687353610992432,513.3505110615174,574.6682797323245,479.42428484425074,0.20204417407512665
3,105103_48308,MT,2048,-0.5019820782352971,-0.2268876469621306,0.061674416065216064,0.32922932505607605,0.3174379765987396,0.5111433267593384,499.58895798402733,539.2665416229611,353.41686622394457,0.1951165795326233
3,105103_48308,MT,4096,-0.5708111135169205,-0.2750330053619954,0.08240198343992233,0.3020898997783661,0.3282581567764282,0.5315184593200684,489.82770850673995,484.09411496037274,351.3139665542109,0.1900295466184616
4,112501_46003,MT,256,0.3598822336828944,0.2814539917106894,0.033139921724796295,0.27364057302474976,0.2971585988998413,0.5970516204833984,514.4230414866622,532.8458415584092,502.0034875692991,0.2229209542274475
4,112501_46003,MT,512,0.2865230049402506,0.1981417536864194,0.03901832178235054,0.2978808283805847,0.2738417983055115,0.6125675439834595,507.4098761006101,547.4804351977576,503.70352500469795,0.21304798126220703
4,112501_46003,MT,1024,0.35850871361783876,0.26920936494084535,0.04727082699537277,0.329957515001297,0.2743217945098877,0.5573700666427612,521.8962520314133,560.4289199299874,450.64769169301576,0.20370802283287048
4,112501_46003,MT,2048,0.35153591674004436,0.2974720451937266,0.06084028258919716,0.3369410037994385,0.30046865344047546,0.5159075260162354,520.9831764438374,556.5755118362199,356.88023372352853,0.19627588987350464
4,112501_46003,MT,4096,0.36052571355495455,0.32729033251443884,0.08020009845495224,0.3275051712989807,0.3421725928783417,0.5352503061294556,481.14803975403197,482.76904793114613,353.7417729491214,0.1914600431919098
