site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
108720_47582,MT,256,1881145,1999,0.4469563071396542,0.3577297070073863,0.3328860112877051,2.9796313572392323,1.57528070518528,0.37261788355974357,1690.3630256401375,0.03388065006583929,24.67158843902871,1715.068494729232,50,0.029230982065200806,0.26349881291389465,0.26051145792007446,0.6070421934127808,526.3392579211758,518.5096911465179,506.69337861121056,0.22031626105308533
108720_47582,MT,512,1881145,1999,0.40821064316530026,0.30799254074885907,0.44353410171083596,2.988382410514961,1.366342834987421,0.3689272816092263,1892.6661146706901,0.02327131014317274,15.94160044612363,1908.630986426957,50,0.037488918751478195,0.3057394325733185,0.27877771854400635,0.609245240688324,529.780987109693,555.810473949751,515.9068837631048,0.21091872453689575
108720_47582,MT,1024,1881145,1999,0.3978300745867589,0.30195919605048044,0.47147549319489857,2.928153708071205,1.3501731594662,0.3941085782878665,2676.0296480702236,0.03113995725288987,25.245004904922098,2701.3057929323986,50,0.04870552942156792,0.3223719000816345,0.29749560356140137,0.5374795198440552,516.4400916428408,566.5918101074788,447.4587066495029,0.20164033770561218
108720_47582,MT,2048,1881145,1999,0.404322843389179,0.31656877424204055,0.4540831933744588,2.8913197690151713,1.3883561122172947,0.4092560071360061,5622.072341019753,0.051032232120633125,93.5184065210633,5715.641779772937,50,0.062188874930143356,0.3281363844871521,0.3514827787876129,0.5249035358428955,510.0375094617182,553.0108550264014,356.8892152340099,0.1942441612482071
108720_47582,MT,4096,1881145,1999,0.38666139108955533,0.29606059766763215,0.5007345360115423,2.89339570803389,1.3260713699521156,0.40840740590478963,19355.68543505203,0.15159893408417702,153.85486775822937,19509.691901744343,50,0.08201590180397034,0.3077079653739929,0.3145153522491455,0.5109991431236267,494.88140602268135,480.0962671041763,351.77567294272603,0.18911059200763702
115553_48392,MT,256,1877397,5747,0.5174618698306412,0.40622244665402724,0.37018191550870994,8.558301327509252,5.292790930804011,0.3128679708492579,1750.3641002583317,0.022269435692578554,24.129117032978684,1774.515486727003,50,0.030919326469302177,0.2651069462299347,0.24851025640964508,0.5997750759124756,528.7502502956673,527.9870589472459,514.226350031634,0.22043532133102417
115553_48392,MT,512,1877397,5747,0.5550312964678309,0.43729875695140974,0.2754082843391221,9.055064604559355,5.642878873833622,0.23078427787326228,1892.0425544567406,0.02693106234073639,17.720579655840993,1909.7900651749223,50,0.03914050757884979,0.3199736177921295,0.26654645800590515,0.5998020768165588,523.9155443800774,541.4079324770039,508.8570619594729,0.21063855290412903
115553_48392,MT,1024,1877397,5747,0.5232077972583449,0.40851872001242046,0.35611718379472435,8.781979416674936,5.365646524274301,0.2764811079481938,2651.56684498908,0.04895479790866375,19.761606503278017,2671.3774062902667,50,0.05010603368282318,0.3306595981121063,0.2945963144302368,0.5700995922088623,518.6332085457879,566.1994638570271,456.8764287588953,0.2012370079755783
115553_48392,MT,2048,1877397,5747,0.4982891614879742,0.38792416638142696,0.4159886315384159,8.320720587597036,5.106990812028349,0.35048838337530963,5694.95451361686,0.09884348092600703,70.04661766625941,5765.099974764045,50,0.06212451681494713,0.3384373188018799,0.3126923441886902,0.5346451997756958,516.7757210128019,554.6434963042291,354.6944029697627,0.19416159391403198
115553_48392,MT,4096,1877397,5747,0.49009494653980323,0.3813642003980366,0.43503848001783685,8.211319452059094,5.035559539495837,0.36745570624811075,19602.47264239844,0.31477502081543207,112.29893048806116,19715.086347907316,50,0.08207099884748459,0.3407624065876007,0.30778682231903076,0.5319238901138306,506.0555143487962,479.19136056054265,358.6473233645586,0.18921513855457306
108512_45780,MT,256,1879806,3338,0.6275733924696906,0.45561166166169986,0.1508880905895782,3.887056765993776,2.650729564442264,0.25840449357928275,1737.9873215560801,0.02356557734310627,24.283023652154952,1762.2939107855782,50,0.029757944867014885,0.2723951041698456,0.23927737772464752,0.5884667038917542,531.4394075918608,524.9633158252813,504.87364942382135,0.21863389015197754
