[latent6_nodoy] Device: cuda
[latent6_nodoy] K=10, latent_dim=6, beta=1, kl_warmup=0, exclude_doy=True
[latent6_nodoy] 1,883,144 obs, 16 features
[latent6_nodoy] Epoch   1/100 | train=10.6744 (recon=7.3837 kl=3.2906) | val=9.5059 | beta=1.000 | 8s
[latent6_nodoy] Epoch   2/100 | train=9.3868 (recon=5.2151 kl=4.1717) | val=9.3013 | beta=1.000 | 15s
[latent6_nodoy] Epoch   3/100 | train=9.2631 (recon=5.0454 kl=4.2177) | val=9.2174 | beta=1.000 | 25s
[latent6_nodoy] Epoch   4/100 | train=9.2025 (recon=4.9650 kl=4.2375) | val=9.1675 | beta=1.000 | 35s
[latent6_nodoy] Epoch   5/100 | train=9.1611 (recon=4.9083 kl=4.2528) | val=9.1398 | beta=1.000 | 43s
[latent6_nodoy] Epoch   6/100 | train=9.1315 (recon=4.8685 kl=4.2630) | val=9.1093 | beta=1.000 | 50s
[latent6_nodoy] Epoch   7/100 | train=9.1101 (recon=4.8384 kl=4.2717) | val=9.0914 | beta=1.000 | 57s
[latent6_nodoy] Epoch   8/100 | train=9.0960 (recon=4.8151 kl=4.2809) | val=9.0814 | beta=1.000 | 66s
[latent6_nodoy] Epoch   9/100 | train=9.0828 (recon=4.7947 kl=4.2880) | val=9.0717 | beta=1.000 | 76s
[latent6_nodoy] Epoch  10/100 | train=9.0702 (recon=4.7742 kl=4.2959) | val=9.0527 | beta=1.000 | 87s
[latent6_nodoy] Epoch  11/100 | train=9.0592 (recon=4.7576 kl=4.3016) | val=9.0458 | beta=1.000 | 97s
[latent6_nodoy] Epoch  12/100 | train=9.0483 (recon=4.7402 kl=4.3082) | val=9.0375 | beta=1.000 | 109s
[latent6_nodoy] Epoch  13/100 | train=9.0375 (recon=4.7252 kl=4.3123) | val=9.0309 | beta=1.000 | 119s
[latent6_nodoy] Epoch  14/100 | train=9.0290 (recon=4.7099 kl=4.3190) | val=9.0112 | beta=1.000 | 129s
[latent6_nodoy] Epoch  15/100 | train=9.0213 (recon=4.6968 kl=4.3245) | val=9.0052 | beta=1.000 | 140s
[latent6_nodoy] Epoch  16/100 | train=9.0141 (recon=4.6842 kl=4.3299) | val=8.9978 | beta=1.000 | 149s
[latent6_nodoy] Epoch  17/100 | train=9.0073 (recon=4.6740 kl=4.3333) | val=8.9988 | beta=1.000 | 158s
