fold,n_train,n_test,train_time,infer_time,fold_time
0,2000,1389,2.8875613901764154,0.1311209388077259,3.291999300941825
1,2000,1560,1.9093814119696617,0.0952022522687912,2.008871704339981
2,2000,927,1.7343308757990599,0.11743913404643536,1.8555241376161575
3,2000,2836,1.96138602681458,0.1208854429423809,2.1101962830871344
4,2000,839,1.68706345371902,0.08661175146698952,1.778837589547038
