fold,n_train,n_test,train_time,infer_time,fold_time,years
0,2000,1389,2.8875613901764154,0.1311209388077259,3.291999300941825,2019
1,2000,1560,1.9093814119696613,0.0952022522687912,2.008871704339981,2019
2,2000,927,1.73433087579906,0.1174391340464353,1.8555241376161573,2019
3,2000,2836,1.96138602681458,0.1208854429423809,2.1101962830871344,2019
4,2000,839,1.68706345371902,0.0866117514669895,1.778837589547038,2019
0,2000,2821,2.8726919144392014,0.1081769354641437,3.272422820329666,2018-2019
1,2000,3112,1.595955016091466,0.0890251528471708,1.7004189155995846,2018-2019
2,2000,1844,1.67465790361166,0.0874071642756462,1.766243889927864,2018-2019
3,2000,5634,1.6630819775164127,0.0887646228075027,1.7576747424900532,2018-2019
4,2000,1669,1.5921388417482376,0.0901023056358099,1.6862814389169216,2018-2019
0,2000,2821,2.8003213200718164,0.1070708874613046,3.211437216028571,2018-2019
1,2000,3112,1.564348204061389,0.0886219516396522,1.6595852691680193,2018-2019
2,2000,1844,1.54634640365839,0.0870308652520179,1.6377019453793764,2018-2019
3,2000,5634,1.5669699124991894,0.0877443794161081,1.659882606938481,2018-2019
4,2000,1669,1.5289526302367449,0.0878819841891527,1.621641447767615,2018-2019
0,2000,2821,2.7971980795264244,0.101998409256339,3.199911616742611,2018-2019
1,2000,3112,1.711292386054993,0.0881939884275198,1.8138142973184583,2018-2019
2,2000,1844,1.7374747041612864,0.0861213561147451,1.8313336949795485,2018-2019
3,2000,5634,1.6009908206760883,0.0856649465858936,1.7000691425055263,2018-2019
4,2000,1669,1.589510129764676,0.0558353886008262,1.649868996813893,2018-2019
0,2000,1389,2.829657768830657,0.1041415557265281,3.302446400746703,2019
1,2000,1560,1.7236930541694164,0.0861092638224363,1.8152864407747984,2019
2,2000,927,1.7462830692529678,0.0881614983081817,1.8389515336602928,2019
3,2000,2836,1.589577954262495,0.0908115431666374,1.6860316526144743,2019
4,2000,839,1.5790057685226202,0.086012415587902,1.669247254729271,2019
0,4000,2821,3.8320046588778496,0.1724838837981224,4.472676360979676,2018-2019
1,4000,3112,2.2188113424927,0.102183936163783,2.3452895246446133,2018-2019
2,4000,1844,1.922793060541153,0.1114575788378715,2.040695624426008,2018-2019
3,4000,5634,1.8224870767444368,0.1062775496393442,1.935201717540621,2018-2019
4,4000,1669,1.878687996417284,0.1027895994484424,1.99561713822186,2018-2019
0,4000,3084,3.0589453829452395,0.120724911801517,3.5355322470422834,2018-2019
1,4000,3112,1.795737863983959,0.1038224198855459,1.914843205129728,2018-2019
2,4000,2269,1.8207751121371984,0.1022806188557297,1.929729947121814,2018-2019
3,4000,1670,1.8060253199655565,0.1039511000271886,1.9155452139675615,2018-2019
4,4000,5437,1.7639810570981354,0.100627867039293,1.8725478500127792,2018-2019
0,4000,3084,3.2417690500151366,0.13064139103516936,3.713753850897774,2018-2019
1,4000,3112,1.8120320080779493,0.10749761713668704,1.9355260299053043,2018-2019
2,4000,2269,1.8994911150075495,0.1099403090775013,2.0162407672032714,2018-2019
3,4000,1670,1.9636237199883908,0.11016920884139836,2.083088302053511,2018-2019
4,4000,5437,1.9457599939778447,0.11053617997094989,2.0619842710439116,2018-2019
