n_inducing,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,mean_train_time,mean_infer_time,mean_ip_time,mean_fold_time,total_wall_time,mean_stopped_epoch,n_predictions
256,0.5531520120643431,0.42532995338757296,0.4901073363102799,6.859774289986809,3.865771986592251,0.39520510214577986,1185.1569445650093,0.026768788509070874,21.375806866399945,1206.5595202199183,6032.797601099592,50.0,17829
512,0.5458164977260787,0.41895836802531444,0.5035413438898283,6.670468710115608,3.804328143203985,0.4281249241302236,1423.8034424382263,0.02703789109364152,10.705936917290092,1434.53641724661,7172.68208623305,50.0,17829
1024,0.5685838042585442,0.4326722678787649,0.4612605974013385,6.834274443230006,3.9275949660475313,0.39969315441263464,2221.3639792514964,0.031924669444561,19.68320343643427,2241.0791073573755,11205.395536786877,50.0,17829
2048,0.5740425955321642,0.43383368663601823,0.4508664107070256,6.779800667562223,3.9221777529862396,0.4092247166221191,5214.395626702532,0.0750952991656959,35.98932133782655,5250.460043339524,26252.300216697622,50.0,17829
4096,0.5875372197825084,0.44255678624091416,0.42474481980211287,6.671622974408437,3.958578962058356,0.42792699138502743,17558.851694121026,0.2752313486300409,122.68106543328614,17681.80799090294,88409.03995451471,50.0,17829
