site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
108720_47582,MT,256,1881145,1999,0.4550753088116926,0.3663039216391536,0.3084295116790595,2.9603634940475074,1.5997504808474565,0.3807056143225932,1248.4001630619168,0.020952512975782156,22.887025014963,1271.3081405898556,50,0.1270722895860672,0.46773073077201843,0.3651895225048065,0.7227245569229126,556.7433101845531,586.0462271142338,481.8550053037484,0.22850771248340607
108720_47582,MT,512,1881145,1999,0.4284778060013334,0.33013685348069943,0.38690669966896696,2.956588264987793,1.4457956267691303,0.3822841281791688,1422.4368349770084,0.022752849850803614,10.39270128402859,1432.8522891108878,50,0.1396903097629547,0.5222590565681458,0.3997966945171356,0.6901868581771851,531.0568809979538,580.8338501047535,433.0964097548771,0.2200901061296463
108720_47582,MT,1024,1881145,1999,0.4188011313454651,0.3304360345919827,0.41428600703239626,2.901000590081206,1.452495240377986,0.40529348383176933,2269.146289535798,0.025718423072248697,17.651828837115318,2286.8238367959857,50,0.1626705527305603,0.5426816940307617,0.43355634808540344,0.6872254610061646,525.8952208083803,566.7334639517358,405.5054252034117,0.21043550968170166
108720_47582,MT,2048,1881145,1999,0.4047203653169706,0.2989121085465841,0.453009197251102,2.9754981814874144,1.3316018483828402,0.3743572142036563,5219.164512039162,0.06156297912821174,32.96427379688248,5252.190348815173,50,0.1696823686361313,0.5550967454910278,0.4804137945175171,0.6773169040679932,508.4704354233459,545.5349939141578,387.4055005396486,0.1997024565935135
108720_47582,MT,4096,1881145,1999,0.38890261241650426,0.295386143821442,0.4949299360112932,2.90604275413276,1.328189532789008,0.40322439516367226,17101.80043688789,0.1527110068127513,146.78479391289875,17248.7379418076,50,0.18147996068000793,0.5505139231681824,0.49309033155441284,0.6639273166656494,470.63735310133035,500.0939848901513,384.3032460252733,0.19130006432533264
115553_48392,MT,256,1877397,5747,0.5282525791253608,0.4143749388971818,0.3436406564331722,8.626879920706587,5.351036222517063,0.3018117237919843,1153.9512563552707,0.03415968734771013,25.77789119305089,1179.7633072356693,50,0.1267511248588562,0.4737132787704468,0.38239210844039917,0.7091377973556519,561.036277316768,584.2061974028136,478.48080483841255,0.22960308194160461
115553_48392,MT,512,1877397,5747,0.5073225637568095,0.398830253290121,0.3946218013443501,8.254143862958166,5.188211940282873,0.3608406978637094,1448.8087500059046,0.027159425895661116,9.876050477847457,1458.7119599096477,50,0.15051808953285217,0.5199370980262756,0.40536120533943176,0.6944077610969543,537.8046377954834,578.305355110397,454.6358568163434,0.22038957476615906
115553_48392,MT,1024,1877397,5747,0.49298228816466866,0.3867481300377904,0.428362051081003,8.232829203366629,5.091927398568605,0.3641374354187601,2247.822313727811,0.041944921016693115,25.113282264210284,2272.977540913038,50,0.165342777967453,0.5361195802688599,0.4404882788658142,0.6720885038375854,530.9219366870326,574.4969682090799,404.7891112687876,0.21071124076843262
115553_48392,MT,2048,1877397,5747,0.5003620970139341,0.3896226265602718,0.4111194264415211,8.368568022603139,5.134509006756234,0.3429970084655153,5256.800513463095,0.12136941775679588,33.90829994622618,5290.830182827078,50,0.16914592683315277,0.5515177249908447,0.4698983430862427,0.6783165335655212,509.4604287360203,536.6782454859704,383.38740506001426,0.20009110867977142
115553_48392,MT,4096,1877397,5747,0.48612699815153493,0.3764302895676256,0.4441496259003459,8.181197756636248,4.986388026773386,0.3720879361635112,17243.95185765298,0.3142239167355001,172.8026517140679,17417.068733283784,50,0.1782110333442688,0.5699625611305237,0.48417699337005615,0.6774572134017944,472.05057834676705,511.6593665542286,385.03394636299276,0.19154790043830872
